PESSOA;IDADE;RENDIMENTO_ANUAL;SITUACAO_PROPRIEDADE;ANOS_TRABALHADOS;EMPRESTIMO;MOTIVO_EMPRESTIMO;PONTUACAO;VALOR_EMPRESTIMO;JUROS;POSSIB_INADIMPLENCIA;EMPRESTIMO_PERC_RENDA_ANUAL;SOLICITACAO;INADIMPLENTE;ANOS_PRIMEIRO_CREDITO
BYmg43Fi-Mvaj;21.0;40000.0;Alugada;3.0;i536G5cd-egh3;Educativo;D;7000.0;14.46;0.0;0.17;M2sgMabi-q39B;0.0;3
uuxfZCc3-yREE;31.0;60000.0;Hipotecada;5.0;uCmuTGJI-lgY4;Médico;A;7200.0;6.03;0.0;0.12;99KTbbun-q4wt;0.0;8
bQv6mUQ9-3Mbf;39.0;60000.0;Hipotecada;1.0;5x0t61fW-ghYo;Educativo;C;17000.0;14.65;0.0;0.28;gOqEuvYZ-T1za;1.0;14
Mucn0ump-Stue;24.0;78000.0;Hipotecada;8.0;BmUhdDn5-YUDX;Pagamento de débitos;A;3600.0;5.42;0.0;0.05;skrBzl9k-6XSu;0.0;4
zMqqJNJb-32Dk;21.0;;Alugada;1.0;pLeboaWw-b4Xf;;A;25000.0;16.07;0.0;0.19;gx1Lqjxf-f2U6;1.0;3
YIHuehGl-eWpc;29.0;175000.0;Hipotecada;2.0;IHcxHFyD-ddZE;Melhora do lar;A;10000.0;;0.0;0.06;CRO9thKh-NYDn;0.0;9
F3Y67rIn-jckm;26.0;47000.0;Alugada;0.0;wErmE5GG-WOjr;Melhora do lar;D;25000.0;15.28;1.0;0.53;Ecjh4AUO-UTRq;1.0;2
K58ydOiW-a2I3;30.0;36000.0;Alugada;6.0;sxSX7s1R-Wo1r;Pagamento de débitos;C;4500.0;13.49;0.0;0.13;o65QapOc-tR0Z;1.0;6
c7N00Xkw-EjwP;25.0;61440.0;Alugada;9.0;TDkjPUqd-ndPx;Empreendimento;B;8000.0;10.36;0.0;0.13;6Uah3ah8-rfUd;0.0;4
noXp5ZzA-7kbv;29.0;50000.0;Própria;3.0;MHm6RLEs-ml59;Médico;B;4200.0;9.91;0.0;0.08;zsgGPSlg-GAvl;0.0;6
Q5dqB97I-TEjJ;24.0;85000.0;Hipotecada;8.0;UjQWv0nx-pw3f;Educativo;B;20000.0;11.11;0.0;0.24;1G4XQSD0-EUYu;0.0;4
SeJTCFwO-KrbQ;41.0;50000.0;Alugada;0.0;9mT4cjye-2LDX;Pessoal;B;6000.0;8.88;0.0;0.12;CLOXuuct-rSpH;0.0;17
oiqjo4kK-2ieZ;26.0;58000.0;Alugada;10.0;npEeneRK-zG8l;Educativo;C;9600.0;13.99;0.0;0.17;r8GH3oaq-pSQp;1.0;4
ds2jH5KJ-WuMF;22.0;81600.0;Hipotecada;6.0;7rquRb04-0CEL;Pessoal;A;1300.0;6.39;0.0;0.02;Cn135ogy-bKDy;0.0;3
mtKsQFYC-LKKm;26.0;35000.0;Alugada;10.0;IDluiXvd-GiaF;Educativo;B;12875.0;;1.0;0.37;GC5pNzCD-5LGU;0.0;3
rz6KYxBX-SCcJ;32.0;19200.0;Alugada;0.0;rexKO1Fs-lZn3;Empreendimento;B;5000.0;9.99;1.0;0.26;gngDxDmO-YH6A;0.0;6
zGFOoqXu-b5hx;33.0;100000.0;Hipotecada;16.0;KHyBcn07-c4j3;Médico;B;6000.0;8.94;;;AsuGeRgH-sksZ;0.0;12
G5aDf64O-PH6C;26.0;31104.0;Alugada;1.0;sH2uqDS7-NfhJ;Pagamento de débitos;B;4000.0;9.99;0.0;0.13;zndaY8Bz-M4Os;0.0;3
TgE5b4GO-Dt74;24.0;145000.0;Hipotecada;0.0;BH1pq4aj-trt0;Pessoal;B;7000.0;10.99;0.0;0.05;oUk9piHQ-eXRY;0.0;2
F8sjbtYh-Ntuc;22.0;73000.0;Hipotecada;6.0;s23EevcN-d0JX;Educativo;B;7000.0;10.59;0.0;0.1;q3SsWfhh-eib9;0.0;2
J3jGNZeh-OzZE;26.0;84996.0;Alugada;0.0;NaelpPC5-t2kz;Médico;B;9000.0;11.26;0.0;0.11;GvqL52S8-S8OH;0.0;2
F9a6bBd9-Xe2o;27.0;68000.0;Alugada;4.0;8HuvzhAq-k7Xi;Melhora do lar;A;8700.0;7.88;0.0;0.13;L42AQtMx-SEGR;0.0;5
GiP48I8v-4QMo;27.0;56253.0;Alugada;11.0;uYH6bhrT-ewlf;Empreendimento;B;10000.0;11.36;0.0;0.18;ZSKhw1Wq-Grfc;0.0;8
kGgQ5Ztm-1Cai;31.0;52000.0;Alugada;4.0;Flh8tBUI-8ZwW;Empreendimento;B;10000.0;11.83;0.0;0.19;UQ7Y34SQ-UanA;0.0;7
rz1EWsAa-qLPB;22.0;24449.0;Própria;2.0;vanxjNZ8-gDET;Empreendimento;B;1800.0;11.89;0.0;0.07;187qtU8E-YHgw;0.0;4
vM7jxZHX-hPQf;29.0;32997.0;Alugada;7.0;XJDd9tQg-onCB;Pagamento de débitos;A;10000.0;5.79;0.0;0.3;jvXpnOTv-W8gD;0.0;7
v0bZ8uAY-hxvk;30.0;75000.0;Alugada;2.0;Whr56GP6-egwr;Médico;C;6000.0;12.68;0.0;0.08;UjTc82nd-qwG2;0.0;8
DwRsBiGO-lo06;36.0;31000.0;Alugada;3.0;e4SAwL8Q-7lT7;Empreendimento;A;7100.0;8.9;0.0;0.23;7KJaotAU-2GrE;0.0;12
JFCnlUKo-opAW;21.0;24000.0;Hipotecada;0.0;WqqAxdoR-mNAa;Empreendimento;A;3000.0;7.9;0.0;0.13;uo02FqyD-sP5N;0.0;4
JlUHLUZA-rfPy;24.0;64000.0;Hipotecada;8.0;woPqremP-ROOh;Educativo;A;5000.0;7.88;1.0;0.08;kXb3MoC4-CC80;0.0;4
g1GDvUjj-IoJj;23.0;45000.0;Alugada;1.0;2hnMHX0e-caej;Pagamento de débitos;C;2000.0;13.49;0.0;0.04;SkfqfEzL-lKFD;0.0;2
LPL286b5-nzmc;24.0;47000.0;Alugada;8.0;xTE1h5Kz-PsYS;Pagamento de débitos;B;;11.49;0.0;0.19;aqy3O2yH-AIYH;;4
4lYeiWLm-P0QY;22.0;40000.0;Alugada;6.0;UFYAZiMe-d1Lo;Educativo;D;7200.0;17.58;0.0;0.18;jqGfQoOO-HquX;1.0;2
KI4650uQ-ACBq;24.0;111239.0;Hipotecada;1.0;zocNNpx5-2jSB;Educativo;A;14000.0;7.9;0.0;0.13;hOqbstIi-ruOB;0.0;4
8AYaI8lG-eovU;30.0;57000.0;Hipotecada;6.0;jAAgFdfl-6Y7e;Pessoal;A;4000.0;8.0;0.0;0.07;5s9U5yce-1d0J;0.0;7
QO0MxJ5C-J0Qj;21.0;30000.0;Alugada;2.0;9QA7jdmD-WbIq;Médico;A;4150.0;6.76;0.0;0.14;GTYNk7NY-DMUO;0.0;3
2qL2TpcA-3UO0;26.0;108000.0;Hipotecada;4.0;LoQ6fSUb-Oz9B;Pessoal;A;9000.0;5.79;0.0;0.08;yyxAqFSr-rcKu;0.0;2
AspC7qDK-5Esh;21.0;60000.0;Alugada;2.0;kZHfWgGv-0dWJ;Educativo;B;8000.0;11.26;0.0;0.13;UwfbzeaW-9tQt;0.0;3
AaDuh9Ug-p1By;25.0;191000.0;Hipotecada;1.0;681AjXXg-yUw5;Médico;B;10000.0;12.53;0.0;0.05;P9shydKC-WLnl;0.0;4
SAEUImFs-iXAT;35.0;50000.0;Hipotecada;5.0;6bKNACAB-up1b;Melhora do lar;C;6000.0;13.49;0.0;0.12;45kngxnO-kwyt;0.0;6
t59ApC2m-YYFd;30.0;28800.0;Alugada;1.0;BztZjz7l-APOx;Pagamento de débitos;C;8000.0;12.73;0.0;0.28;FlYfM4NA-7CZJ;0.0;10
e23slzE8-B0Ax;29.0;24960.0;Alugada;13.0;c048XsHF-y51I;Empreendimento;A;4000.0;5.42;0.0;0.16;lllfq9ft-0KFp;0.0;6
gYjoo3jD-emAd;25.0;44000.0;Hipotecada;4.0;uDlmyeNO-dbNN;Médico;D;5550.0;14.11;1.0;0.13;CAcJauAz-ctJX;1.0;4
oXNrwSN4-pHGd;28.0;115000.0;Hipotecada;11.0;eouval6d-Q1hc;Melhora do lar;A;5000.0;7.51;0.0;0.04;hMRKJ4gx-1Mf2;0.0;8
W9xNZtvO-qLBS;21.0;52000.0;Hipotecada;5.0;YRkJSwLT-uBQK;Pagamento de débitos;A;13250.0;5.99;0.0;0.25;YIIUhXxw-O8If;0.0;2
IYKcjmRZ-EGj7;;70000.0;Alugada;5.0;Y4YGCAT6-kdKz;Educativo;B;13225.0;16.11;0.0;;K6M9GKHr-JJWU;1.0;7
IJKlCu5g-hK22;24.0;18000.0;Própria;0.0;Ki2Rr7Di-8Is1;Melhora do lar;A;6250.0;6.54;1.0;0.35;b8bJFyze-0WBF;0.0;4
AplH4Lwm-gyYK;25.0;90000.0;Hipotecada;7.0;H7WZlXS5-Rjyu;Pagamento de débitos;A;6000.0;7.14;0.0;0.07;rZoiEpPc-bciv;0.0;3
2E2Jp2gN-3Rc2;53.0;95000.0;Própria;24.0;0Y0rHbib-kYJ4;Pessoal;A;6000.0;5.42;0.0;0.06;DfrYmDZi-YdO8;0.0;30
LmwskARR-HyA3;21.0;41900.0;Alugada;2.0;0YpSbTgj-CZKT;Empreendimento;C;16000.0;12.84;1.0;0.38;j3jnnG3T-iF3N;1.0;2
9Gbo6GjU-I4vH;24.0;25000.0;Alugada;0.0;8g7OWEJO-Du7T;Melhora do lar;B;8500.0;12.21;1.0;0.34;FpZNX7aC-n4LP;0.0;2
18UJRYaa-ZMs6;22.0;64312.0;Hipotecada;4.0;oSUPE75N-HwUi;Empreendimento;D;5000.0;14.91;0.0;0.08;UfosSYa8-hY8Q;1.0;4
c7nkcYEn-WoMN;36.0;50000.0;Alugada;5.0;eEJckkSg-PLwD;Educativo;A;6500.0;;0.0;0.13;LBcAufFd-37UY;0.0;15
dejgBgka-cvSN;25.0;12996.0;Própria;1.0;Y7yIUHWQ-138k;Médico;D;3600.0;14.59;1.0;0.28;WNto6491-J99J;0.0;3
AlyOGpcv-PZHy;47.0;52000.0;Hipotecada;4.0;mEo0vZSm-wd9v;Pagamento de débitos;A;12000.0;7.29;0.0;0.23;CBcyCzmp-dZQA;0.0;13
TJvond5k-OZsJ;22.0;96000.0;Hipotecada;3.0;Sq9jFOjZ-nd4A;Educativo;C;11400.0;13.04;0.0;0.12;LOrdD3hM-coOU;1.0;2
mpfjpS76-GpMH;23.0;80000.0;Alugada;6.0;U3GtqMpT-D0SF;Empreendimento;A;6500.0;7.51;0.0;0.08;lusooYZf-PCbH;0.0;3
xnzIpFAr-XXwH;38.0;104800.0;Hipotecada;6.0;TzCPj24J-ca8m;Melhora do lar;A;14000.0;6.03;0.0;0.13;UQob4enS-T6vi;0.0;11
cK9KSdTW-SABw;28.0;150000.0;Hipotecada;12.0;QiGEuof0-QhSt;Educativo;C;10000.0;;0.0;0.07;QjtP3Yff-14AH;1.0;6
3Fn6Bsv2-lENb;22.0;42996.0;Alugada;2.0;eWgmMLkK-ZBt8;Pagamento de débitos;C;14400.0;;1.0;0.33;En3WPrh1-l38m;1.0;4
HIWfRjYs-Z9XU;40.0;44000.0;Alugada;0.0;tilhQ4Ny-usUE;Pessoal;A;6000.0;;1.0;0.14;yGtY95es-ueBR;0.0;12
m0EsrCQA-UxF8;23.0;74000.0;Alugada;3.0;ybSH8enN-9zbG;Médico;B;25000.0;10.36;1.0;0.34;9UdFSUoj-JTbn;0.0;2
HYNz400D-rzsb;22.0;60000.0;Própria;7.0;eNAftsYx-hTla;Empreendimento;D;15000.0;16.49;0.0;0.25;4QvCYJZz-Qww5;1.0;2
4zf4iTpX-Ju8u;29.0;101000.0;Própria;6.0;eEisjK1m-T4wm;Melhora do lar;B;12000.0;12.18;0.0;0.12;YaMTpkN1-NQCk;0.0;8
pMajKnu6-53f4;27.0;44640.0;Alugada;0.0;RpFauaAu-LzeN;Médico;B;12800.0;11.83;0.0;0.29;QHGwl9TO-5WKP;0.0;9
4ePEsQ0Q-YPAT;22.0;76296.0;Hipotecada;6.0;a4Ei4NHR-M6JB;Empreendimento;A;18000.0;7.88;0.0;0.24;P0QctpbZ-tA9E;0.0;3
NiumiXy3-ZCWU;25.0;45000.0;Alugada;9.0;k6gvpaPQ-hk69;Pagamento de débitos;B;12000.0;9.62;0.0;0.27;R2MiB33I-ZKkD;0.0;3
N3vLp5HW-vITL;22.0;24000.0;Própria;1.0;QsvUYivH-K8iH;Empreendimento;A;8000.0;7.51;0.0;0.33;OuqQBhde-wnex;0.0;3
ilY2EZA8-vwR7;25.0;65000.0;Alugada;2.0;X9LO565m-zaEc;Pagamento de débitos;B;4200.0;;0.0;0.06;UFOpaRIg-2UvG;0.0;2
OD9kaNuK-wF7Y;25.0;42000.0;Alugada;2.0;fTp5F21g-PBe8;Médico;B;6600.0;10.65;0.0;0.16;IaHdzQXy-jcdy;0.0;4
OkOjGYdY-cbh2;42.0;85000.0;Alugada;3.0;MGhhCMif-2t4J;Empreendimento;C;5750.0;12.99;0.0;0.07;3xNzMDQK-vFI3;1.0;15
RlXKEDYF-bxj9;;45000.0;Própria;8.0;fjmNsAsB-FbKd;Médico;B;;6.03;0.0;0.16;GLxc73MO-DFdr;0.0;4
WXg2X7ay-4bg1;34.0;120000.0;Alugada;;WXzIIE8A-nTiU;Pagamento de débitos;A;2000.0;;;0.04;1luoSXcH-95hi;0.0;3
cG0aCPes-61zD;23.0;50000.0;Hipotecada;3.0;CjrqlOBY-C0rM;Pessoal;B;10000.0;10.99;0.0;0.2;saYaqFAW-ePFO;0.0;3
imn9ic93-oSMp;31.0;48996.0;Hipotecada;0.0;eH8Odfuj-RT5T;Melhora do lar;D;8500.0;14.11;1.0;0.17;TfaAaHAR-4gI0;1.0;9
tE2MMb33-ZtT7;34.0;89000.0;Alugada;3.0;j6eaWF98-rxdq;Melhora do lar;D;35000.0;18.25;1.0;0.39;oJM66DQo-WPHF;0.0;8
zAGYhdqJ-pD7D;30.0;43000.0;Alugada;1.0;4cXZj28b-TIKj;Médico;A;3200.0;8.0;0.0;0.07;4pfUPfsE-8Ltp;0.0;5
pB5tO95i-S3K9;32.0;48000.0;Alugada;3.0;EXrxXz9O-HOTs;Pagamento de débitos;C;9000.0;13.99;0.0;0.19;A4YTvklP-hZTH;0.0;8
RJRYhR8z-Lq2G;21.0;68004.0;Hipotecada;5.0;lklKeiRj-ugSo;Pagamento de débitos;B;16000.0;11.26;0.0;0.24;NGJInTnJ-WbA5;0.0;3
7vMaC87f-hFHi;23.0;95004.0;Alugada;2.0;ltPCr6sE-FXps;Educativo;A;5000.0;9.63;0.0;0.05;jjmTp2gM-kyRe;0.0;4
yrL27Gzn-imvW;31.0;65000.0;Hipotecada;3.0;zjwERmLe-r97O;Pagamento de débitos;A;10000.0;11.03;;;uQdCArAk-ISO3;0.0;3
Wdeij694-MIlJ;29.0;120000.0;Hipotecada;3.0;zOSvqZWR-sqDX;Educativo;B;20000.0;11.71;0.0;0.17;YPC9Xmbt-8bUq;0.0;5
gEL6Dv0l-D5K1;22.0;58000.0;Alugada;3.0;zqpMWuTi-pHbq;Médico;B;12000.0;;1.0;0.21;mL9RqhKf-MGew;0.0;3
RH6xOffd-7tKs;33.0;45600.0;Alugada;0.0;arOLDDpY-0gzJ;Pagamento de débitos;A;11200.0;5.79;0.0;0.25;IJZUFcoJ-ojiy;0.0;8
R1BhCwCP-EmPz;26.0;93492.0;Alugada;0.0;idY4PPcx-HJ9I;Pagamento de débitos;B;20000.0;9.45;0.0;0.21;3ZBNDOgB-xB3s;0.0;4
7LKrRZOZ-47mv;39.0;55000.0;Alugada;0.0;lTCCAyrN-bWC4;Médico;B;3000.0;10.2;0.0;0.05;YLy2dxZ3-31KB;0.0;15
LbfKqC8H-PTmY;26.0;95000.0;Hipotecada;0.0;RT0GuPrC-kzXS;Melhora do lar;D;20000.0;14.96;0.0;0.21;q84AqI13-ts9C;0.0;4
wMp1ZyKP-gOyI;31.0;15000.0;Alugada;2.0;Jd2B5kU3-exrp;Empreendimento;B;4000.0;11.49;1.0;0.27;hgn0rKnu-w36h;0.0;6
yxHeZjn6-XemS;22.0;84000.0;Hipotecada;3.0;d2QGbH22-CMtL;Educativo;A;8000.0;7.88;0.0;0.1;P0oWRAw9-HItc;0.0;4
mBfSbp46-yZFd;26.0;48000.0;Alugada;2.0;6r940j6C-xKkU;Educativo;B;25000.0;9.64;1.0;0.52;6hzt9yiG-yOAk;0.0;4
Q5JHiKZj-oDKp;35.0;50000.0;Alugada;4.0;KMism4Us-r3D7;Pessoal;B;7000.0;11.49;0.0;0.14;E5ZXh4Z6-Dbfn;0.0;9
RhyijGbu-XXrg;37.0;25000.0;Alugada;0.0;ks2tRP1J-2MbF;Empreendimento;D;2775.0;15.65;1.0;0.11;0GRN4Soj-DwrO;1.0;14
Zx2PDoqF-vBJi;24.0;82000.0;Hipotecada;8.0;8AK6FttX-HrNB;Pessoal;A;6000.0;6.76;0.0;0.07;QCIoQ2Z0-aFDN;0.0;3
oZAYftNb-dyXG;24.0;67200.0;Alugada;4.0;XzbJA2oS-rLdC;Educativo;B;5000.0;;0.0;0.07;fgTMCHWd-HXud;0.0;4
pJi3yNTL-7lUA;33.0;54000.0;Hipotecada;7.0;dE6ylTr0-GYCh;Empreendimento;C;7500.0;13.22;0.0;0.14;DxxwJrsj-E8o1;0.0;10
v5Grr8dX-DXMW;26.0;60000.0;Hipotecada;10.0;g8pIP7Bg-kFSS;Pessoal;A;1200.0;7.4;0.0;0.02;TcCFGKpI-LNX7;0.0;4
J0FzZB2i-DoDp;22.0;25062.0;Própria;4.0;7vy7WIb3-EXdJ;Pagamento de débitos;D;4000.0;16.49;0.0;0.16;E6QSarTG-rP0Z;1.0;2
Zmlj5iX7-j34z;24.0;96408.0;Alugada;1.0;NGgzQY1F-ns7G;Educativo;C;7700.0;12.53;0.0;0.08;wW1r1qm7-qwZj;1.0;4
lkmbC2Qr-1Nqb;31.0;24000.0;Alugada;3.0;JqJmAI7a-Zo6Q;Educativo;A;6000.0;8.49;0.0;0.25;3egeG21L-fj0U;0.0;5
BPaMyOoy-xLyx;25.0;50000.0;Alugada;2.0;FPPLX46v-pkpN;Educativo;A;12000.0;7.88;0.0;0.24;mHxZU32F-BU0v;0.0;4
PxMPknrd-Hf2u;28.0;39000.0;Alugada;3.0;IbJrHXGG-EOGU;Empreendimento;B;5000.0;10.25;0.0;0.13;LYGM6nP4-41vf;0.0;10
jd3Ee9W0-fN8F;22.0;60000.0;Alugada;0.0;eCCUm4lB-ZCO3;Empreendimento;A;5500.0;7.88;0.0;0.09;dU8e15zw-8H61;0.0;3
FUG8Peh2-A1Tg;28.0;76000.0;Alugada;2.0;PW1aCD99-hnlI;Médico;B;8500.0;;0.0;0.11;PJAAHFR1-QOZJ;0.0;5
DdDY2p8h-S5nt;22.0;75000.0;Alugada;2.0;x6X4FDui-Y6RC;Educativo;B;19600.0;12.42;0.0;0.26;xFwZ8AOy-a7Dv;0.0;4
9MGj0YJE-OCZE;26.0;66400.0;Alugada;6.0;d2FWpaJQ-1fgF;Médico;A;6000.0;7.29;0.0;0.09;JTzwqNwj-FTOL;0.0;4
fXfWYEHA-eggg;37.0;44196.0;Alugada;0.0;wkwyTmZG-8kcb;Médico;B;12400.0;11.26;0.0;0.28;vSOzdzh5-Myqt;0.0;14
ngrgCGH6-Zcxy;26.0;34000.0;Alugada;5.0;Q858Yfef-1lWK;Empreendimento;A;7500.0;7.9;0.0;0.22;rGdkaBgh-M8b1;0.0;4
cnPIqOLn-27Uf;36.0;72000.0;Própria;5.0;jRzEskAt-vgxh;Empreendimento;B;6000.0;11.36;0.0;0.08;68xQhgat-zjcW;0.0;17
eeeNsG03-h61e;43.0;72800.0;Hipotecada;7.0;8iOqDmIF-tLRm;Melhora do lar;C;20000.0;12.84;0.0;0.27;6GYp2kvH-x55n;1.0;12
fWGbXUPT-9itN;41.0;24000.0;Própria;3.0;E4tjbfdr-NDA0;Educativo;C;4500.0;12.99;0.0;0.19;ETldXMTf-SPXZ;1.0;14
Sivpiuku-g8iM;26.0;105000.0;Hipotecada;6.0;69aK4mIg-vOE8;Pagamento de débitos;B;12000.0;11.99;0.0;0.11;sif9RvXi-ePND;0.0;2
wcZaL1CD-QC0A;27.0;14400.0;Alugada;3.0;bortZX8p-qQ1X;Educativo;F;2500.0;18.3;1.0;0.17;uljlwh2E-iL9m;0.0;7
3Cdfqvje-C6xA;25.0;96000.0;Alugada;9.0;PXWRxBa7-qSXJ;Melhora do lar;A;7075.0;5.99;0.0;0.07;iBbBBv31-s0rH;0.0;4
iOeazHQd-YohB;29.0;27840.0;Alugada;0.0;nLthUfYP-yfeW;Pessoal;E;8575.0;19.42;1.0;0.31;DbkpsmQQ-YfxX;0.0;8
8H6EJ4iW-zv0q;23.0;70000.0;Alugada;1.0;2np7Mwsd-C13K;Médico;B;17000.0;8.88;0.0;0.24;QWeyOJFL-iEsp;0.0;4
t8iww2o4-gb6d;22.0;75000.0;Hipotecada;4.0;tprhEolu-2xkz;Educativo;C;15000.0;13.61;0.0;0.2;EeTBFKAB-LxR0;0.0;4
